gene_id,gene_symbol,means,variances,variances_norm,highly_variable_rank
ENSG00000155366.17,RHOC,0.6995034756703078,4.377067982657499,3.3705116584240757,232.0
ENSG00000261595.1,PPM1J-DT,0.0009930486593843098,0.001588049410408795,1.4513438095016558,1603.0
ENSG00000287979.1,ENSG00000287979.1,3.058788480635551,27.809633252504103,2.3463619918086125,473.0
ENSG00000085998.15,POMGNT1,1.5900695134061569,9.97455625696103,2.331440418499104,482.0
ENSG00000198734.12,F5,0.18232373386295928,0.39519849286201286,1.5299224950277193,1351.0
ENSG00000133055.10,MYBPH,0.0017874875868917578,0.005955688273258115,2.17913035277963,569.0
ENSG00000162367.12,TAL1,0.004965243296921549,0.01924240121513099,2.881062334623495,325.0
ENSG00000143110.12,C1orf162,3.682720953326713,25.7433005706504,1.61701382527447,1170.0
ENSG00000143153.14,ATP1B1,0.1279046673286991,0.3121718927878276,1.7561344061581512,924.0
ENSG00000235251.2,ENSG00000235251.2,0.009235352532274081,0.01729477725836712,1.4905646391233291,1487.0
ENSG00000197520.11,FAM177B,0.021847070506454815,0.04083758511158804,1.4185740341621231,1869.0
ENSG00000072694.22,FCGR2B,0.22999006951340617,0.7902813585268598,2.374227806097677,461.0
ENSG00000155367.16,PPM1J,0.025719960278053625,0.06518408285708453,1.911811700670635,769.0
ENSG00000159450.13,TCHH,0.0010923535253227407,0.0018857864843799237,1.5591265907242753,1275.0
ENSG00000186205.14,MTARC1,0.13515392254220457,0.2636861169351535,1.400762333551612,1944.0
ENSG00000117143.14,UAP1,0.11271102284011916,0.26706455348857533,1.7146796455724473,995.0
ENSG00000163564.15,PYHIN1,0.29632571996027807,0.754569873039878,1.6984284622273025,1013.0
ENSG00000163568.16,AIM2,0.28033763654419064,0.696951718346981,1.6731943621823382,1066.0
ENSG00000173372.18,C1QA,0.1282025819265144,3.583423425040508,14.4692129622115,11.0
ENSG00000159189.13,C1QC,0.0141012909632572,0.24649891912634997,4.981406054329315,121.0
ENSG00000173369.18,C1QB,0.07090367428003973,3.499987563468473,12.69088454782778,17.0
ENSG00000123689.6,G0S2,0.03634558093346574,0.18995903440047193,3.9025162125549975,187.0
ENSG00000230832.3,SSBL4P,0.005461767626613704,0.01119273043803121,1.6962730731197608,1016.0
ENSG00000201699.1,RNVU1-24,0.009632571996027805,0.0357598212847736,2.9460152258455694,308.0
ENSG00000143595.13,AQP10,0.0016881827209533266,0.0028772768789099012,1.5106384057482978,1426.0
ENSG00000143297.19,FCRL5,0.08053624627606752,0.5318984113884309,4.319070706274078,154.0
ENSG00000160856.21,FCRL3,0.15590863952333664,0.42697620776128337,1.9529869647196187,730.0
ENSG00000132704.16,FCRL2,0.10744786494538232,0.35393201014292347,2.387454318572369,457.0
ENSG00000198574.6,SH2D1B,0.07060575968222443,0.1661336085873412,1.7259151377828352,958.0
ENSG00000162551.14,ALPL,0.0013902681231380337,0.002182990986818559,1.4019588731121932,1937.0
ENSG00000235527.7,HIPK1-AS1,0.11052631578947368,0.23795652105733595,1.559062375198179,1280.0
ENSG00000143669.16,LYST,2.621648460774578,15.469707084670887,1.664425815020348,1082.0
ENSG00000234998.1,ENSG00000234998.1,0.0008937437934458789,0.0014889220683145287,1.5202979785691733,1391.0
ENSG00000289234.2,ZNF496-DT,0.12105263157894737,0.23472408800330355,1.3986433128000182,1949.0
ENSG00000116701.16,NCF2,2.83922542204568,19.971268840827484,1.8954044236842944,784.0
ENSG00000127074.15,RGS13,0.0008937437934458789,0.0014889220683145287,1.5202979785691733,1384.0
ENSG00000116741.8,RGS2,2.587288977159881,20.948532425173948,2.3010787253175096,495.0
ENSG00000163220.11,S100A9,83.67547169811321,26187.019509535156,7.4852376234111055,49.0
ENSG00000163221.9,S100A12,4.700198609731877,117.02968513286132,4.967704406982003,123.0
ENSG00000143546.10,S100A8,56.534061569016885,12522.269720615934,7.38162188246088,51.0
ENSG00000273727.1,ENSG00000273727.1,0.1939424031777557,0.8279104664409419,3.0010552957124528,296.0
ENSG00000186891.14,TNFRSF18,0.09374379344587885,0.26313495471120174,2.041838437485131,662.0
ENSG00000023902.14,PLEKHO1,2.3050645481628598,11.115983882018442,1.462970100938984,1575.0
ENSG00000118292.9,C1orf54,0.0605759682224429,0.36816453067676136,4.477462776200177,147.0
ENSG00000117281.16,CD160,0.1811320754716981,0.8278493489263704,3.227185207265971,252.0
ENSG00000269713.9,NBPF9,1.294438927507448,4.412750876943133,1.410918437254621,1896.0
ENSG00000162825.18,NBPF20,0.08570009930486594,0.4944920860363394,4.058243966867587,173.0
ENSG00000185031.6,SLC2A3P2,0.00039721946375372393,0.0005957305712727168,1.4374554369243873,1768.0
ENSG00000143226.16,FCGR2A,0.651142005958292,1.7915842553313617,1.518082009396806,1398.0
ENSG00000077152.12,UBE2T,0.044190665342601784,0.10997469003104006,1.849505740080156,827.0
ENSG00000203747.13,FCGR3A,2.3862959285004965,75.17422870574369,9.372627911677034,34.0
ENSG00000162747.13,FCGR3B,0.020456802383316784,0.05559498447800544,2.0679339027421713,639.0
