"gene_id","gene_symbol","mean","variance","variance.expected","variance.standardized"
"ENSG00000134285.11","FKBP11",0.516683217477656,3.0837915601813,0.874241690298597,3.52739018786433
"ENSG00000237541.4","HLA-DQA2",0.926017874875869,6.72160922800503,1.91574187262241,3.50861946698697
"ENSG00000171476.23","HOPX",0.686792452830189,4.43342371598233,1.26702538141433,3.49908042965445
"ENSG00000102804.16","TSC22D1",0.0996027805362463,0.508401868221489,0.137149094489885,3.49566059946147
"ENSG00000087086.15","FTL",76.9142999006951,10436.349691212,2990.98171707765,3.48927231203836
"ENSG00000130066.17","SAT1",13.0869910625621,448.696970486568,128.5948992171,3.4892283692299
"ENSG00000189057.11","FAM111B",0.0183714001986097,0.0837820330681554,0.024037659486051,3.48544886896222
"ENSG00000204420.10","MPIG6B",0.0140019860973188,0.0702180673314409,0.0180738056522544,3.48092585283541
"ENSG00000111665.12","CDCA3",0.0106256206554121,0.0468629514936807,0.0134835230908696,3.47557171652074
"ENSG00000148346.12","LCN2",0.00307845084409136,0.012404863245986,0.00357131832328082,3.4734689330606
"ENSG00000134323.13","MYCN",0.00218470705064548,0.00972806996175249,0.00248972291131066,3.47239971464087
"ENSG00000132646.11","PCNA",0.307646474677259,1.60442061986796,0.464139365246358,3.45676479954743
"ENSG00000277443.3","MARCKS",3.74726911618669,56.3587049260788,16.3683577347952,3.44314963292103
"ENSG00000119865.9","CNRIP1",0.00367428003972195,0.0225309416663552,0.00431507003542406,3.43850382001918
"ENSG00000163106.11","HPGDS",0.00526315789473684,0.034831766077225,0.00634159517360389,3.4254689572918
"ENSG00000188536.13","HBA2",0.0105263157894737,0.311936062223291,0.0133487746406032,3.42147712971627
"ENSG00000257764.2","ENSG00000257764.2",4.91519364448858,85.8674719805738,25.3258612752938,3.3905055013604
"ENSG00000187608.10","ISG15",3.3201588877855,45.6782011863931,13.497730665042,3.38413932830164
"ENSG00000167601.12","AXL",0.0118172790466733,0.0510074231595437,0.015100066110404,3.37796025438588
"ENSG00000155366.17","RHOC",0.699503475670308,4.37706798265746,1.29863606071122,3.37051165840895
"ENSG00000196230.14","TUBB",1.27954319761668,10.3460210446624,3.07361527996037,3.3660754851519
"ENSG00000123096.12","SSPN",0.0490566037735849,0.222839014573031,0.0662085968728638,3.36571117797489
"ENSG00000247982.7","LINC00926",0.396425024826216,2.09787181456885,0.628450847317423,3.33816371403384
"ENSG00000109272.4","PF4V1",0.0070506454816286,0.0612274708680906,0.00867931051705669,3.33810568560196
"ENSG00000114315.4","HES1",0.0555114200595829,0.250865936655744,0.0751665393693077,3.33746822403507
"ENSG00000289621.2","ENSG00000289621.2",0.00556107249255213,0.0224142000139455,0.00672721279853616,3.33187022399868
"ENSG00000228590.4","MIR4432HG",0.0400198609731877,0.178654483665488,0.0537107177682403,3.32623526716541
"ENSG00000288869.2","SMANTIS",0.0083416087388282,0.0464097035322215,0.0104050332422646,3.31520350659176
"ENSG00000163737.5","PF4",0.00506454816285998,0.0221215322319688,0.00608576215265704,3.31469690316218
"ENSG00000093009.11","CDC45",0.00983118172790467,0.0411189505421529,0.0124068243881652,3.31422040448771
"ENSG00000196565.15","HBG2",0.00337636544190665,0.0178652501315896,0.00394100092841116,3.31044774111145
"ENSG00000182010.11","RTKN2",0.0812313803376365,0.367221445117075,0.111133929461535,3.30431441501556
"ENSG00000110777.12","POU2AF1",0.155014895729891,0.71755107237716,0.217296281336687,3.30217833440678
"ENSG00000198336.9","MYL4",0.0054617676266137,0.0250967924104217,0.00659842487356338,3.30006719805165
"ENSG00000140105.18","WARS1",3.34369414101291,44.9257597157574,13.6500830044382,3.2912444342755
"ENSG00000143476.18","DTL",0.00854021847070506,0.0438241673663243,0.0106711021756692,3.28498251661476
"ENSG00000105610.6","KLF1",0.00873882820258193,0.0571289088408157,0.0109368223737186,3.28432526318987
"ENSG00000085265.12","FCN1",14.530685203575,504.460027636517,153.697678921633,3.28215774744221
"ENSG00000024526.17","DEPDC1",0.00327706057596822,0.0133967481379475,0.00381713452709242,3.23603880436751
"ENSG00000117281.16","CD160",0.181132075471698,0.827849348926372,0.25652365630038,3.22718520726599
"ENSG00000225936.2","SLC18A2-AS1",0.0070506454816286,0.0278577221343534,0.00867931051705669,3.20966994781521
"ENSG00000088726.16","TMEM40",0.00943396226415094,0.15454402359568,0.011870347656983,3.2055434214703
"ENSG00000128218.8","VPREB3",0.262562065541212,1.23724162267444,0.386334956907557,3.20251015486153
"ENSG00000276043.5","UHRF1",0.0202581926514399,0.0851988607308676,0.0266128522703912,3.20141786627125
"ENSG00000137801.11","THBS1",0.342601787487587,1.68398290129785,0.526916913135046,3.19591734354948
"ENSG00000085733.16","CTTN",0.00844091360476663,0.0397539499795009,0.0105381010764293,3.18185384759154
"ENSG00000174059.17","CD34",0.00476663356504469,0.0347374318789232,0.00570280105251727,3.17548953639351
"ENSG00000254709.8","IGLL5",0.0312810327706058,0.13220245055887,0.0417267617770915,3.16828924480429
"ENSG00000224397.9","PELATON",1.2948361469712,9.90938836822342,3.12901792414732,3.1669324396484
"ENSG00000240505.9","TNFRSF13B",0.100099304865938,0.43629952335834,0.137850032875453,3.16503024524149
"ENSG00000111644.8","ACRBP",0.054617676266137,0.378782429044959,0.0739242644895689,3.16320214484479
"ENSG00000267279.3","ENSG00000267279.3",0.00278053624627607,0.0101223701445133,0.00320646259991608,3.15686518370064
"ENSG00000166794.6","PPIB",3.72482621648461,51.1332300571908,16.2119913534296,3.15403758504812
"ENSG00000136810.13","TXN",2.39265143992056,25.1927158810738,8.05403701750274,3.1279612728782
"ENSG00000116191.19","RALGPS2",0.427110228401192,2.15036239027174,0.68855518134283,3.12300662102066
"ENSG00000104918.8","RETN",0.411519364448858,2.05051780253491,0.657813137037854,3.11717368821242
"ENSG00000113389.16","NPR3",0.00397219463753724,0.0198471657775845,0.00469070447431142,3.11568373837263
